CHAT|***
CHAT|owen|hi
CHAT|owen|***
CHAT|owen|I *** love
CHAT|owen|***
CHAT|owen|I *** love you
CHAT|owen|***
CHAT|owen|***
CHAT|owen|SHITTT
CHAT|owen|whoops
CHAT|owen|***
CHAT|owen|***
CHAT|test|***
CHAT|Evan|***
CHAT|Evan|***
CHAT|Evan|***
CHAT|Evan|***
CHAT|player2|***
CHAT|player2|***
CHAT|player2|pendejo
CHAT|player2|hola
CHAT|player1|hola
CHAT|player1|message 1
CHAT|player2|response 1
CHAT|player1|message 2
CHAT|player2|response 2
CHAT|player1|what the ***
CHAT|player2|why the ***
CHAT|player1|this game is ***
